period_month,total_nodes,active_nodes,inactive_nodes,active_share,inactive_share,inactive_share_change,robust_z_sparsity,high_sparsity_flag,inactive_share_chokepoint,inactive_share_terminal
2021-09-01,187,91,96,0.48663101604278075,0.5133689839572193,0.005347593582887722,0.08431250000000032,False,0.32142857142857145,0.5471698113207547
2021-10-01,187,84,103,0.44919786096256686,0.5508021390374331,0.03743315508021383,0.6744999999999991,False,0.35714285714285715,0.5849056603773585
2021-11-01,187,92,95,0.4919786096256685,0.5080213903743316,-0.04278074866310155,0.0,False,0.32142857142857145,0.5408805031446541
2021-12-01,187,91,96,0.48663101604278075,0.5133689839572193,0.005347593582887722,0.08431250000000032,False,0.35714285714285715,0.5408805031446541
2022-01-01,187,87,100,0.46524064171123,0.5347593582887701,0.021390374331550777,0.4215624999999999,False,0.2857142857142857,0.5786163522012578
2022-02-01,187,86,101,0.45989304812834225,0.5401069518716578,0.005347593582887722,0.5058750000000002,False,0.32142857142857145,0.5786163522012578
2022-03-01,187,90,97,0.48128342245989303,0.5187165775401069,-0.021390374331550888,0.16862499999999891,False,0.35714285714285715,0.5471698113207547
2022-04-01,187,86,101,0.45989304812834225,0.5401069518716578,0.021390374331550888,0.5058750000000002,False,0.2857142857142857,0.5849056603773585
2022-05-01,187,92,95,0.4919786096256685,0.5080213903743316,-0.03208556149732622,0.0,False,0.32142857142857145,0.5408805031446541
2022-06-01,187,99,88,0.5294117647058824,0.47058823529411764,-0.03743315508021394,-0.5901875000000005,False,0.35714285714285715,0.49056603773584906
2022-07-01,187,95,92,0.5080213903743316,0.4919786096256685,0.021390374331550832,-0.2529375000000001,False,0.32142857142857145,0.5220125786163522
2022-08-01,187,95,92,0.5080213903743316,0.4919786096256685,0.0,-0.2529375000000001,False,0.35714285714285715,0.5157232704402516
2022-09-01,187,98,89,0.5240641711229946,0.47593582887700536,-0.01604278074866311,-0.5058750000000002,False,0.2857142857142857,0.5094339622641509
2022-10-01,187,103,84,0.5508021390374331,0.44919786096256686,-0.0267379679144385,-0.9274375,False,0.2857142857142857,0.4779874213836478
2022-11-01,187,100,87,0.5347593582887701,0.46524064171123,0.01604278074866311,-0.6745,False,0.2857142857142857,0.4968553459119497
2022-12-01,187,96,91,0.5133689839572193,0.48663101604278075,0.021390374331550777,-0.33725000000000044,False,0.35714285714285715,0.5094339622641509
2023-01-01,187,95,92,0.5080213903743316,0.4919786096256685,0.005347593582887722,-0.2529375000000001,False,0.32142857142857145,0.5220125786163522
2023-02-01,187,109,78,0.5828877005347594,0.41711229946524064,-0.07486631016042783,-1.4333125000000002,False,0.32142857142857145,0.4339622641509434
2023-03-01,187,114,73,0.6096256684491979,0.39037433155080214,-0.0267379679144385,-1.854875,False,0.32142857142857145,0.4025157232704403
2023-04-01,187,112,75,0.5989304812834224,0.40106951871657753,0.010695187165775388,-1.6862500000000005,False,0.35714285714285715,0.4088050314465409
2023-05-01,187,115,72,0.6149732620320856,0.3850267379679144,-0.01604278074866311,-1.9391875000000005,False,0.32142857142857145,0.39622641509433965
2023-06-01,187,109,78,0.5828877005347594,0.41711229946524064,0.03208556149732622,-1.4333125000000002,False,0.35714285714285715,0.4276729559748428
2023-07-01,187,109,78,0.5828877005347594,0.41711229946524064,0.0,-1.4333125000000002,False,0.2857142857142857,0.44025157232704404
2023-08-01,187,101,86,0.5401069518716578,0.45989304812834225,0.04278074866310161,-0.7588125000000003,False,0.32142857142857145,0.48427672955974843
2023-09-01,187,111,76,0.5935828877005348,0.40641711229946526,-0.053475935828877,-1.6019375000000002,False,0.2857142857142857,0.4276729559748428
2023-10-01,187,111,76,0.5935828877005348,0.40641711229946526,0.0,-1.6019375000000002,False,0.35714285714285715,0.41509433962264153
2023-11-01,187,120,67,0.6417112299465241,0.3582887700534759,-0.04812834224598933,-2.3607500000000003,False,0.2857142857142857,0.3710691823899371
2023-12-01,187,124,63,0.6631016042780749,0.33689839572192515,-0.021390374331550777,-2.698,False,0.32142857142857145,0.33962264150943394
2024-01-01,187,122,65,0.6524064171122995,0.34759358288770054,0.010695187165775388,-2.5293750000000004,False,0.2857142857142857,0.3584905660377358
2024-02-01,187,116,71,0.6203208556149733,0.37967914438502676,0.03208556149732622,-2.0235,False,0.35714285714285715,0.3836477987421384
2024-03-01,187,115,72,0.6149732620320856,0.3850267379679144,0.005347593582887666,-1.9391875000000005,False,0.32142857142857145,0.39622641509433965
2024-04-01,187,119,68,0.6363636363636364,0.36363636363636365,-0.021390374331550777,-2.2764375,False,0.32142857142857145,0.3710691823899371
2024-05-01,187,100,87,0.5347593582887701,0.46524064171123,0.10160427807486633,-0.6745,False,0.35714285714285715,0.48427672955974843
2024-06-01,187,83,104,0.44385026737967914,0.5561497326203209,0.09090909090909088,0.7588124999999994,False,0.39285714285714285,0.5849056603773585
2024-07-01,187,93,94,0.49732620320855614,0.5026737967914439,-0.053475935828877,-0.08431250000000032,False,0.35714285714285715,0.5283018867924528
2024-08-01,187,98,89,0.5240641711229946,0.47593582887700536,-0.0267379679144385,-0.5058750000000002,False,0.25,0.5157232704402516
2024-09-01,187,85,102,0.45454545454545453,0.5454545454545454,0.06951871657754005,0.5901874999999988,False,0.35714285714285715,0.5786163522012578
2024-10-01,187,83,104,0.44385026737967914,0.5561497326203209,0.010695187165775444,0.7588124999999994,False,0.39285714285714285,0.5849056603773585
2024-11-01,187,70,117,0.37433155080213903,0.6256684491978609,0.06951871657754005,1.8548749999999985,False,0.35714285714285715,0.6729559748427673
2024-12-01,187,74,113,0.39572192513368987,0.6042780748663101,-0.021390374331550777,1.517624999999999,False,0.42857142857142855,0.6352201257861635
