country,period_month,outgoing_flow,outgoing_voyages,active_export_terminals,destination_countries,incoming_flow,incoming_voyages,active_import_terminals,origin_countries,throughput,voyage_count,export_share,country_role,active,year,month
Algeria,2020-01-01,226500,3,1,2,0,0,0,0,226500,3,1,exporter,1,2020,1
Argentina,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Australia,2020-01-01,2946643,19,4,5,0,0,0,0,2946643,19,1,exporter,1,2020,1
Bangladesh,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Belgium,2020-01-01,0,0,0,0,893166,5,1,2,893166,5,0,importer,1,2020,1
Brazil,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Cameroon,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Canada,2020-01-01,0,0,0,0,159800,1,1,1,159800,1,0,importer,1,2020,1
Chile,2020-01-01,0,0,0,0,175000,1,1,1,175000,1,0,importer,1,2020,1
China,2020-01-01,0,0,0,0,2529580,13,10,5,2529580,13,0,importer,1,2020,1
Colombia,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Croatia,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Egypt,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
El Salvador,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Equatorial Guinea,2020-01-01,167062,1,1,1,0,0,0,0,167062,1,1,exporter,1,2020,1
Finland,2020-01-01,0,0,0,0,18000,1,1,1,18000,1,0,importer,1,2020,1
France,2020-01-01,0,0,0,0,806700,6,3,3,806700,6,0,importer,1,2020,1
Germany,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Gibraltar,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Greece,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Hong Kong,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
India,2020-01-01,0,0,0,0,733200,4,2,3,733200,4,0,importer,1,2020,1
Indonesia,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Italy,2020-01-01,0,0,0,0,225200,2,2,2,225200,2,0,importer,1,2020,1
Jamaica,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Japan,2020-01-01,0,0,0,0,3106166,19,7,5,3106166,19,0,importer,1,2020,1
Jordan,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Kuwait,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Lithuania,2020-01-01,0,0,0,0,142759,1,1,1,142759,1,0,importer,1,2020,1
Malaysia,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Malta,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Mexico,2020-01-01,0,0,0,0,174000,1,1,1,174000,1,0,importer,1,2020,1
Mozambique,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Netherlands,2020-01-01,0,0,0,0,655759,4,1,2,655759,4,0,importer,1,2020,1
Nigeria,2020-01-01,980600,6,1,5,0,0,0,0,980600,6,1,exporter,1,2020,1
Norway,2020-01-01,1103828,9,2,5,0,0,0,0,1103828,9,1,exporter,1,2020,1
Oman,2020-01-01,166000,1,1,1,0,0,0,0,166000,1,1,exporter,1,2020,1
Pakistan,2020-01-01,0,0,0,0,737829,4,1,2,737829,4,0,importer,1,2020,1
Panama,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Peru,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Philippines,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Poland,2020-01-01,0,0,0,0,294416,2,1,1,294416,2,0,importer,1,2020,1
Portugal,2020-01-01,0,0,0,0,340000,2,1,2,340000,2,0,importer,1,2020,1
Qatar,2020-01-01,5463353,24,1,9,0,0,0,0,5463353,24,1,exporter,1,2020,1
Russia,2020-01-01,2890400,18,3,8,0,0,0,0,2890400,18,1,exporter,1,2020,1
South Korea,2020-01-01,0,0,0,0,1520615,7,3,3,1520615,7,0,importer,1,2020,1
Spain,2020-01-01,0,0,0,0,1035062,6,4,3,1035062,6,0,importer,1,2020,1
Sweden,2020-01-01,0,0,0,0,36000,2,1,1,36000,2,0,importer,1,2020,1
Taiwan,2020-01-01,0,0,0,0,443120,3,2,2,443120,3,0,importer,1,2020,1
Thailand,2020-01-01,0,0,0,0,209220,1,1,1,209220,1,0,importer,1,2020,1
Trinidad and Tobago,2020-01-01,614532,4,1,4,0,0,0,0,614532,4,1,exporter,1,2020,1
Turkmenistan,2020-01-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,1
Türkiye,2020-01-01,0,0,0,0,1384531,8,2,3,1384531,8,0,importer,1,2020,1
United Arab Emirates,2020-01-01,137000,1,1,1,0,0,0,0,137000,1,1,exporter,1,2020,1
United Kingdom,2020-01-01,0,0,0,0,2583506,14,2,5,2583506,14,0,importer,1,2020,1
United States,2020-01-01,3645831,22,5,10,138120,1,1,1,3783951,23,0.96349847025,exporter,1,2020,1
Algeria,2020-02-01,610058,6,1,3,0,0,0,0,610058,6,1,exporter,1,2020,2
Argentina,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Australia,2020-02-01,2799451,18,4,4,0,0,0,0,2799451,18,1,exporter,1,2020,2
Bangladesh,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Belgium,2020-02-01,0,0,0,0,2577100,15,1,3,2577100,15,0,importer,1,2020,2
Brazil,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Cameroon,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Canada,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Chile,2020-02-01,0,0,0,0,348000,2,2,1,348000,2,0,importer,1,2020,2
China,2020-02-01,0,0,0,0,1697448,9,6,3,1697448,9,0,importer,1,2020,2
Colombia,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Croatia,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Egypt,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
El Salvador,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Equatorial Guinea,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Finland,2020-02-01,0,0,0,0,18000,1,1,1,18000,1,0,importer,1,2020,2
France,2020-02-01,0,0,0,0,1448266,10,3,5,1448266,10,0,importer,1,2020,2
Germany,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Gibraltar,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Greece,2020-02-01,0,0,0,0,426352,2,1,1,426352,2,0,importer,1,2020,2
Hong Kong,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
India,2020-02-01,0,0,0,0,717800,4,3,3,717800,4,0,importer,1,2020,2
Indonesia,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Italy,2020-02-01,0,0,0,0,310800,3,2,2,310800,3,0,importer,1,2020,2
Jamaica,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Japan,2020-02-01,0,0,0,0,2387703,15,9,4,2387703,15,0,importer,1,2020,2
Jordan,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Kuwait,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Lithuania,2020-02-01,0,0,0,0,285371,2,1,1,285371,2,0,importer,1,2020,2
Malaysia,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Malta,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Mexico,2020-02-01,0,0,0,0,149700,1,1,1,149700,1,0,importer,1,2020,2
Mozambique,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Netherlands,2020-02-01,0,0,0,0,1130129,7,1,4,1130129,7,0,importer,1,2020,2
Nigeria,2020-02-01,1462700,9,1,7,0,0,0,0,1462700,9,1,exporter,1,2020,2
Norway,2020-02-01,740399,6,2,5,0,0,0,0,740399,6,1,exporter,1,2020,2
Oman,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Pakistan,2020-02-01,0,0,0,0,680726,4,1,2,680726,4,0,importer,1,2020,2
Panama,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Peru,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Philippines,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Poland,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Portugal,2020-02-01,0,0,0,0,651000,4,1,3,651000,4,0,importer,1,2020,2
Qatar,2020-02-01,5354153,24,1,11,0,0,0,0,5354153,24,1,exporter,1,2020,2
Russia,2020-02-01,3624400,22,2,7,0,0,0,0,3624400,22,1,exporter,1,2020,2
South Korea,2020-02-01,0,0,0,0,864700,4,2,3,864700,4,0,importer,1,2020,2
Spain,2020-02-01,0,0,0,0,1686108,10,4,5,1686108,10,0,importer,1,2020,2
Sweden,2020-02-01,0,0,0,0,18000,1,1,1,18000,1,0,importer,1,2020,2
Taiwan,2020-02-01,0,0,0,0,331900,2,1,1,331900,2,0,importer,1,2020,2
Thailand,2020-02-01,0,0,0,0,935274,5,1,4,935274,5,0,importer,1,2020,2
Trinidad and Tobago,2020-02-01,436376,3,1,3,0,0,0,0,436376,3,1,exporter,1,2020,2
Turkmenistan,2020-02-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,2
Türkiye,2020-02-01,0,0,0,0,1366220,7,3,3,1366220,7,0,importer,1,2020,2
United Arab Emirates,2020-02-01,137100,1,1,1,0,0,0,0,137100,1,1,exporter,1,2020,2
United Kingdom,2020-02-01,0,0,0,0,1932447,10,2,4,1932447,10,0,importer,1,2020,2
United States,2020-02-01,4936466,30,4,15,138059,1,1,1,5074525,31,0.972793709756,exporter,1,2020,2
Algeria,2020-03-01,383558,3,1,3,0,0,0,0,383558,3,1,exporter,1,2020,3
Argentina,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Australia,2020-03-01,2345697,15,4,5,0,0,0,0,2345697,15,1,exporter,1,2020,3
Bangladesh,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Belgium,2020-03-01,0,0,0,0,1416000,8,1,2,1416000,8,0,importer,1,2020,3
Brazil,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Cameroon,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Canada,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Chile,2020-03-01,0,0,0,0,175000,1,1,1,175000,1,0,importer,1,2020,3
China,2020-03-01,0,0,0,0,1409288,8,5,4,1409288,8,0,importer,1,2020,3
Colombia,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Croatia,2020-03-01,0,0,0,0,733763,5,1,1,733763,5,0,importer,1,2020,3
Egypt,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
El Salvador,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Equatorial Guinea,2020-03-01,155000,1,1,1,0,0,0,0,155000,1,1,exporter,1,2020,3
Finland,2020-03-01,0,0,0,0,18000,1,1,1,18000,1,0,importer,1,2020,3
France,2020-03-01,0,0,0,0,1305820,8,3,4,1305820,8,0,importer,1,2020,3
Germany,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Gibraltar,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Greece,2020-03-01,0,0,0,0,174000,1,1,1,174000,1,0,importer,1,2020,3
Hong Kong,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
India,2020-03-01,0,0,0,0,1346318,8,2,4,1346318,8,0,importer,1,2020,3
Indonesia,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Italy,2020-03-01,0,0,0,0,75500,1,1,1,75500,1,0,importer,1,2020,3
Jamaica,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Japan,2020-03-01,0,0,0,0,1941291,12,6,3,1941291,12,0,importer,1,2020,3
Jordan,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Kuwait,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Lithuania,2020-03-01,0,0,0,0,154880,1,1,1,154880,1,0,importer,1,2020,3
Malaysia,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Malta,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Mexico,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Mozambique,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Netherlands,2020-03-01,0,0,0,0,1160208,7,1,4,1160208,7,0,importer,1,2020,3
Nigeria,2020-03-01,789178,5,1,5,0,0,0,0,789178,5,1,exporter,1,2020,3
Norway,2020-03-01,757116,6,2,5,0,0,0,0,757116,6,1,exporter,1,2020,3
Oman,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Pakistan,2020-03-01,0,0,0,0,642552,3,1,1,642552,3,0,importer,1,2020,3
Panama,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Peru,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Philippines,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Poland,2020-03-01,0,0,0,0,209220,1,1,1,209220,1,0,importer,1,2020,3
Portugal,2020-03-01,0,0,0,0,293160,2,1,2,293160,2,0,importer,1,2020,3
Qatar,2020-03-01,5230727,27,1,11,0,0,0,0,5230727,27,1,exporter,1,2020,3
Russia,2020-03-01,2592400,16,2,6,0,0,0,0,2592400,16,1,exporter,1,2020,3
South Korea,2020-03-01,0,0,0,0,1030700,5,2,4,1030700,5,0,importer,1,2020,3
Spain,2020-03-01,0,0,0,0,503100,3,2,2,503100,3,0,importer,1,2020,3
Sweden,2020-03-01,0,0,0,0,18000,1,1,1,18000,1,0,importer,1,2020,3
Taiwan,2020-03-01,0,0,0,0,979700,6,2,3,979700,6,0,importer,1,2020,3
Thailand,2020-03-01,0,0,0,0,165500,1,1,1,165500,1,0,importer,1,2020,3
Trinidad and Tobago,2020-03-01,602007,4,1,3,0,0,0,0,602007,4,1,exporter,1,2020,3
Turkmenistan,2020-03-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,3
Türkiye,2020-03-01,0,0,0,0,922610,5,3,3,922610,5,0,importer,1,2020,3
United Arab Emirates,2020-03-01,135000,1,1,1,154948,1,1,1,289948,2,0.465600728406,bidirectional,1,2020,3
United Kingdom,2020-03-01,0,0,0,0,1262532,7,2,4,1262532,7,0,importer,1,2020,3
United States,2020-03-01,3374466,20,4,11,273059,2,2,1,3647525,22,0.925138552854,exporter,1,2020,3
Algeria,2020-04-01,717500,7,1,4,0,0,0,0,717500,7,1,exporter,1,2020,4
Argentina,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Australia,2020-04-01,2196348,14,3,3,0,0,0,0,2196348,14,1,exporter,1,2020,4
Bangladesh,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Belgium,2020-04-01,0,0,0,0,1320640,7,1,2,1320640,7,0,importer,1,2020,4
Brazil,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Cameroon,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Canada,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Chile,2020-04-01,0,0,0,0,170000,1,1,1,170000,1,0,importer,1,2020,4
China,2020-04-01,0,0,0,0,3277987,18,8,4,3277987,18,0,importer,1,2020,4
Colombia,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Croatia,2020-04-01,0,0,0,0,138059,1,1,1,138059,1,0,importer,1,2020,4
Egypt,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
El Salvador,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Equatorial Guinea,2020-04-01,174000,1,1,1,0,0,0,0,174000,1,1,exporter,1,2020,4
Finland,2020-04-01,0,0,0,0,36000,2,1,1,36000,2,0,importer,1,2020,4
France,2020-04-01,0,0,0,0,1651608,11,3,4,1651608,11,0,importer,1,2020,4
Germany,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Gibraltar,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Greece,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Hong Kong,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
India,2020-04-01,0,0,0,0,345168,2,1,2,345168,2,0,importer,1,2020,4
Indonesia,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Italy,2020-04-01,0,0,0,0,151000,2,1,1,151000,2,0,importer,1,2020,4
Jamaica,2020-04-01,0,0,0,0,137680,1,1,1,137680,1,0,importer,1,2020,4
Japan,2020-04-01,0,0,0,0,911996,6,3,3,911996,6,0,importer,1,2020,4
Jordan,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Kuwait,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Lithuania,2020-04-01,0,0,0,0,147208,1,1,1,147208,1,0,importer,1,2020,4
Malaysia,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Malta,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Mexico,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Mozambique,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Netherlands,2020-04-01,0,0,0,0,847608,5,1,4,847608,5,0,importer,1,2020,4
Nigeria,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Norway,2020-04-01,743712,5,1,5,0,0,0,0,743712,5,1,exporter,1,2020,4
Oman,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Pakistan,2020-04-01,0,0,0,0,940986,5,1,2,940986,5,0,importer,1,2020,4
Panama,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Peru,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Philippines,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Poland,2020-04-01,0,0,0,0,216000,1,1,1,216000,1,0,importer,1,2020,4
Portugal,2020-04-01,0,0,0,0,170000,1,1,1,170000,1,0,importer,1,2020,4
Qatar,2020-04-01,5977660,28,1,11,0,0,0,0,5977660,28,1,exporter,1,2020,4
Russia,2020-04-01,2100400,14,2,6,0,0,0,0,2100400,14,1,exporter,1,2020,4
South Korea,2020-04-01,0,0,0,0,1382847,7,3,3,1382847,7,0,importer,1,2020,4
Spain,2020-04-01,0,0,0,0,690970,5,4,5,690970,5,0,importer,1,2020,4
Sweden,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Taiwan,2020-04-01,0,0,0,0,145000,1,1,1,145000,1,0,importer,1,2020,4
Thailand,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Trinidad and Tobago,2020-04-01,623976,4,1,3,0,0,0,0,623976,4,1,exporter,1,2020,4
Turkmenistan,2020-04-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,4
Türkiye,2020-04-01,0,0,0,0,848497,5,2,5,848497,5,0,importer,1,2020,4
United Arab Emirates,2020-04-01,135000,1,1,1,0,0,0,0,135000,1,1,exporter,1,2020,4
United Kingdom,2020-04-01,0,0,0,0,2143034,10,1,2,2143034,10,0,importer,1,2020,4
United States,2020-04-01,3003692,18,4,11,0,0,0,0,3003692,18,1,exporter,1,2020,4
Algeria,2020-05-01,459058,4,1,2,0,0,0,0,459058,4,1,exporter,1,2020,5
Argentina,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Australia,2020-05-01,2844713,18,4,6,0,0,0,0,2844713,18,1,exporter,1,2020,5
Bangladesh,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Belgium,2020-05-01,0,0,0,0,1233100,7,1,2,1233100,7,0,importer,1,2020,5
Brazil,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Cameroon,2020-05-01,164000,1,1,1,0,0,0,0,164000,1,1,exporter,1,2020,5
Canada,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Chile,2020-05-01,0,0,0,0,172000,1,1,1,172000,1,0,importer,1,2020,5
China,2020-05-01,0,0,0,0,2004070,11,6,6,2004070,11,0,importer,1,2020,5
Colombia,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Croatia,2020-05-01,0,0,0,0,151700,1,1,1,151700,1,0,importer,1,2020,5
Egypt,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
El Salvador,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Equatorial Guinea,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Finland,2020-05-01,0,0,0,0,18000,1,1,1,18000,1,0,importer,1,2020,5
France,2020-05-01,0,0,0,0,1583258,10,3,3,1583258,10,0,importer,1,2020,5
Germany,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Gibraltar,2020-05-01,0,0,0,0,216000,1,1,1,216000,1,0,importer,1,2020,5
Greece,2020-05-01,0,0,0,0,523374,3,1,3,523374,3,0,importer,1,2020,5
Hong Kong,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
India,2020-05-01,0,0,0,0,808966,5,2,4,808966,5,0,importer,1,2020,5
Indonesia,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Italy,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Jamaica,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Japan,2020-05-01,0,0,0,0,1504861,10,8,3,1504861,10,0,importer,1,2020,5
Jordan,2020-05-01,0,0,0,0,155000,1,1,1,155000,1,0,importer,1,2020,5
Kuwait,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Lithuania,2020-05-01,0,0,0,0,307612,2,1,2,307612,2,0,importer,1,2020,5
Malaysia,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Malta,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Mexico,2020-05-01,0,0,0,0,174000,1,1,1,174000,1,0,importer,1,2020,5
Mozambique,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Netherlands,2020-05-01,0,0,0,0,841400,5,1,3,841400,5,0,importer,1,2020,5
Nigeria,2020-05-01,484880,3,1,3,0,0,0,0,484880,3,1,exporter,1,2020,5
Norway,2020-05-01,285371,2,1,2,0,0,0,0,285371,2,1,exporter,1,2020,5
Oman,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Pakistan,2020-05-01,0,0,0,0,145000,1,1,1,145000,1,0,importer,1,2020,5
Panama,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Peru,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Philippines,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Poland,2020-05-01,0,0,0,0,580100,3,1,2,580100,3,0,importer,1,2020,5
Portugal,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Qatar,2020-05-01,6759019,31,1,15,0,0,0,0,6759019,31,1,exporter,1,2020,5
Russia,2020-05-01,2931400,19,3,7,0,0,0,0,2931400,19,1,exporter,1,2020,5
South Korea,2020-05-01,0,0,0,0,1479700,7,5,3,1479700,7,0,importer,1,2020,5
Spain,2020-05-01,0,0,0,0,1552759,9,6,4,1552759,9,0,importer,1,2020,5
Sweden,2020-05-01,0,0,0,0,18000,1,1,1,18000,1,0,importer,1,2020,5
Taiwan,2020-05-01,0,0,0,0,668540,4,1,2,668540,4,0,importer,1,2020,5
Thailand,2020-05-01,0,0,0,0,909000,5,1,3,909000,5,0,importer,1,2020,5
Trinidad and Tobago,2020-05-01,174000,1,1,1,0,0,0,0,174000,1,1,exporter,1,2020,5
Turkmenistan,2020-05-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,5
Türkiye,2020-05-01,0,0,0,0,589320,3,2,2,589320,3,0,importer,1,2020,5
United Arab Emirates,2020-05-01,409640,3,1,3,137540,1,1,1,547180,4,0.748638473628,bidirectional,1,2020,5
United Kingdom,2020-05-01,0,0,0,0,1917755,8,1,1,1917755,8,0,importer,1,2020,5
United States,2020-05-01,3178974,19,4,12,0,0,0,0,3178974,19,1,exporter,1,2020,5
Algeria,2020-06-01,1101058,10,2,3,0,0,0,0,1101058,10,1,exporter,1,2020,6
Argentina,2020-06-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,6
Australia,2020-06-01,1672488,11,3,3,0,0,0,0,1672488,11,1,exporter,1,2020,6
Bangladesh,2020-06-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,6
Belgium,2020-06-01,0,0,0,0,1096068,6,1,2,1096068,6,0,importer,1,2020,6
Brazil,2020-06-01,0,0,0,0,159800,1,1,1,159800,1,0,importer,1,2020,6
Cameroon,2020-06-01,160000,1,1,1,0,0,0,0,160000,1,1,exporter,1,2020,6
Canada,2020-06-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,6
Chile,2020-06-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,6
China,2020-06-01,0,0,0,0,1902035,10,7,5,1902035,10,0,importer,1,2020,6
Colombia,2020-06-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,6
Croatia,2020-06-01,0,0,0,0,512700,3,1,1,512700,3,0,importer,1,2020,6
Egypt,2020-06-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,6
El Salvador,2020-06-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,6
Equatorial Guinea,2020-06-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,6
Finland,2020-06-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,6
France,2020-06-01,0,0,0,0,1922200,11,3,3,1922200,11,0,importer,1,2020,6
Germany,2020-06-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,6
Gibraltar,2020-06-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,6
Greece,2020-06-01,0,0,0,0,209220,1,1,1,209220,1,0,importer,1,2020,6
Hong Kong,2020-06-01,0,0,0,0,0,0,0,0,0,0,,inactive,0,2020,6
India,2020-06-01,0,0,0,0,1059700,6,3,4,1059700,6,0,importer,1,2020,6
